"id","date","title","word_count","summary","controlled_tags","source_tags","has_images","wordpress_url","file_path"
"2012-12-08-the-new-lee-hits-the-road","2012-12-08","The New Lee Hits the Road","545","Was back on the road this week, at least for half of it. I'd spent seven weeks working from home which was a nice stretch of time. It's so much easier taking care of how you eat and...","family-responsibility; feasting; mindset; nsv; original-less-of-lee-journey","Boston; low-carb; travel; weight-loss","true","https://lessoflee.wordpress.com/2012/12/08/the-new-lee-hits-the-road/","../src/content/blog/2012-12-08-the-new-lee-hits-the-road.md"
"2012-12-23-25-and-80lbs-less-of-lee","2012-12-23","25% and 80lbs Less of Lee","422","As of this week’s weigh in, I broke the 230 barrier at 229.2lbs. That means I’ve lost 80lbs which is 25% of my starting weight of 309 last April. The scale has been frustrating the last few months...so...","capability-recovery; exercise; feasting; food-addiction; humor-voice; nsv; original-less-of-lee-journey","calorie; fitness; goals; low-carb; NSNG; scale; weight-loss","true","https://lessoflee.wordpress.com/2012/12/23/25-and-80lbs-less-of-lee/","../src/content/blog/2012-12-23-25-and-80lbs-less-of-lee.md"
"2012-12-31-holiday-food-8211-5lbs-of-lessons-learned","2012-12-31","Holiday Food – 5lbs of Lessons Learned","336","It was time to view the butcher’s bill after a week of unrestrained holiday food eating. There are now 5lbs more of Lee.","feasting; food-addiction; humor-voice; original-less-of-lee-journey","calorie counting; calories; fats; holiday; low-carb; NSNG; paleo; sugar; weight-loss","true","https://lessoflee.wordpress.com/2012/12/31/holiday-food-5lbs-of-lessons-learned/","../src/content/blog/2012-12-31-holiday-food-8211-5lbs-of-lessons-learned.md"
"2012-12-31-the-year-that-was-2012-in-fitness","2012-12-31","The Year That Was 2012 In Fitness","316","I had no New Year’s resolutions for fitness when 2012 started. I had no notion that I was going to embark on my journey to be Less of Lee. I was 309lbs with a 55” waist and climbing...","capability-recovery; exercise; original-less-of-lee-journey","exercise; fitness; P90; weight-loss","true","https://lessoflee.wordpress.com/2012/12/31/the-year-that-was-2012-in-fitness/","../src/content/blog/2012-12-31-the-year-that-was-2012-in-fitness.md"
"2013-01-01-less-of-and-fitter-lee-in-2013-8211-resolutions","2013-01-02","Less of and Fitter Lee in 2013 – Resolutions","432","Time for New Year’s Resolutions. I admit, I love to make NYR. Sometimes I’ve kept them and made fantastic life changes. Most times not. I kind of missed the opportunity last year to say “this year I’m going...","capability-recovery; exercise; food-addiction; original-less-of-lee-journey","10k; 5k; fitness; New Year's Resolutions; P90; P90X; race; resistance training; weight-loss","true","https://lessoflee.wordpress.com/2013/01/01/less-of-and-fitter-lee-in-2013-resolutions/","../src/content/blog/2013-01-01-less-of-and-fitter-lee-in-2013-8211-resolutions.md"
"2013-01-15-tell-the-world","2013-01-15","Tell The World","761","A wise, successful and experienced person recently encouraged folks starting WW to keep it to themselves. Don't tell anyone. All kinds of folks will start discouraging you and giving you all manner of nonsense dietary and health advice....","failure-restart; family-responsibility; feasting; food-addiction; original-less-of-lee-journey","fitness; low-carb; weight watchers; weight-loss","true","https://lessoflee.wordpress.com/2013/01/15/tell-the-world/","../src/content/blog/2013-01-15-tell-the-world.md"
"2013-01-26-keeping-the-faith-in-the-face-of-a-plateau","2013-01-26","Keeping The Faith In the Face of a Plateau","746","I am coming up on two months at the same weight, the first serious plateau in my journey to health. I was 231.8 last November 30, and I weighed in at 231.6 this","capability-recovery; exercise; family-responsibility; feasting; food-addiction; original-less-of-lee-journey","Biggest Loser; Bodylastics; calories; calories-in-calories-out; exercise; fitness; LIF2; low-carb; No Sugar No Grains; NSNG; P90; Pete Thomas; weight-loss","true","https://lessoflee.wordpress.com/2013/01/26/keeping-the-faith-in-the-face-of-a-plateau/","../src/content/blog/2013-01-26-keeping-the-faith-in-the-face-of-a-plateau.md"
"2013-02-02-happy-birthday-to-me-8211-gave-myself-the-gift-of","2013-02-02","Happy Birthday to Me – Gave Myself the Gift of Health","724","Happy Birthday to me. Today I turn 48. When I turned 47, I weighed approximately 315lbs with a 55” belly. I was morbidly obese. I was on meds for high blood pressure. I took Tums and Pepcids constantly....","capability-recovery; exercise; health-identity; nsv; original-less-of-lee-journey","Beachbody; Bodylastics; fitness; P90; Power 90; resistance bands; strength training; Tony Horton; weight watchers; weight-loss; work out","true","https://lessoflee.wordpress.com/2013/02/02/happy-birthday-to-me-gave-myself-the-gift-of-health/","../src/content/blog/2013-02-02-happy-birthday-to-me-8211-gave-myself-the-gift-of.md"
"2013-03-29-accepting-lee","2013-03-29","Accepting Lee","436","This has been the longest gap between blog posts. There has been little to report other than going up and down the same five pounds for the last four months. I’m at 229 as of this morning. I...","capability-recovery; exercise; failure-restart; health-identity; humor-voice; nsv; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2013/03/29/accepting-lee/","../src/content/blog/2013-03-29-accepting-lee.md"
"2013-04-14-one-year-and-80lbs-less-of-lee","2013-04-15","One Year and 80lbs Less of Lee","376","“Ok…I’m publicly committing. Today I start my journey of becoming less.” I wrote those words one year ago. I was 47yrs old and 309lbs...morbidly obese. Today, at 229 lbs, I am no longer obese. It’s been a terrific...","exercise; health-identity; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2013/04/14/one-year-and-80lbs-less-of-lee/","../src/content/blog/2013-04-14-one-year-and-80lbs-less-of-lee.md"
